64 64 0.0109 0.0170
256 64 0.0017 0.0170
64 256 0.0109 0.0079
256 256 0.0017 0.0079
256 16 0.0017 0.0435
64 16 0.0109 0.0435
16 256 0.0325 0.0079
16 64 0.0325 0.0170
256 4 0.0017 0.0900
16 16 0.0325 0.0435
64 4 0.0109 0.0900
4 256 0.0688 0.0079
4 64 0.0688 0.0170
16 4 0.0325 0.0900
4 16 0.0688 0.0435
256 1 0.0017 0.1742
1 256 0.1020 0.0079
64 1 0.0109 0.1742
4 4 0.0688 0.0900
1 64 0.1020 0.0170
1 16 0.1020 0.0435
16 1 0.0325 0.1742
1 4 0.1020 0.0900
4 1 0.0688 0.1742
1 1 0.1020 0.1742
