256   128   0.0000 0.0210

256   256   0.0000 0.0210

256   512   0.0000 0.0209

256   1024   0.0000 0.0209

256   2048   0.0000 0.0209

512   1   0.0000 0.0437

512   2   0.0000 0.0323

512   4   0.0000 0.0266

512   8   0.0000 0.0237

512   16   0.0000 0.0223

512   32   0.0000 0.0216

512   64   0.0000 0.0212

512   128   0.0000 0.0210

512   256   0.0000 0.0210

512   512   0.0000 0.0209

512   1024   0.0000 0.0209

512   2048   0.0000 0.0209

1024   1   0.0000 0.0437

1024   2   0.0000 0.0323

1024   4   0.0000 0.0266

1024   8   0.0000 0.0237

1024   16   0.0000 0.0223

1024   32   0.0000 0.0216

1024   64   0.0000 0.0212

1024   128   0.0000 0.0210

1024   256   0.0000 0.0210

1024   512   0.0000 0.0209

1024   1024   0.0000 0.0209

1024   2048   0.0000 0.0209

2048   1   0.0000 0.0437

2048   2   0.0000 0.0323

2048   4   0.0000 0.0266

2048   8   0.0000 0.0237

2048   16   0.0000 0.0223

2048   32   0.0000 0.0216

2048   64   0.0000 0.0212

2048   128   0.0000 0.0210

2048   256   0.0000 0.0210

2048   512   0.0000 0.0209

2048   1024   0.0000 0.0209

2048   2048   0.0000 0.0209

16   1   0.0000 0.2203

16   2   0.0000 0.0721

16   4   0.0000 0.0554

16   8   0.0000 0.0509

16   16   0.0000 0.0430

16   32   0.0000 0.0379

16   64   0.0000 0.0375

16   128   0.0000 0.0329

16   256   0.0000 0.0328

16   512   0.0000 0.0327

16   1024   0.0000 0.0325

16   2048   0.0000 0.0323

32   1   0.0000 0.2203

32   2   0.0000 0.0721

32   4   0.0000 0.0554

32   8   0.0000 0.0509

32   16   0.0000 0.0430

32   32   0.0000 0.0379

32   64   0.0000 0.0375

32   128   0.0000 0.0329

32   256   0.0000 0.0328

32   512   0.0000 0.0327

32   1024   0.0000 0.0325

32   2048   0.0000 0.0323

64   1   0.0000 0.2203

64   2   0.0000 0.0721

64   4   0.0000 0.0554

64   8   0.0000 0.0509

64   16   0.0000 0.0430

64   32   0.0000 0.0379

64   64   0.0000 0.0375

64   128   0.0000 0.0329

64   256   0.0000 0.0328

64   512   0.0000 0.0327

64   1024   0.0000 0.0325

64   2048   0.0000 0.0323

128   1   0.0000 0.2203

128   2   0.0000 0.0721

128   4   0.0000 0.0554

128   8   0.0000 0.0509

128   16   0.0000 0.0430

128   32   0.0000 0.0379

128   64   0.0000 0.0375

128   128   0.0000 0.0329

128   256   0.0000 0.0328

128   512   0.0000 0.0327

128   1024   0.0000 0.0325

128   2048   0.0000 0.0323

256   1   0.0000 0.2203

256   2   0.0000 0.0721

256   4   0.0000 0.0554

256   8   0.0000 0.0509

256   16   0.0000 0.0430

256   32   0.0000 0.0379

256   64   0.0000 0.0375

256   128   0.0000 0.0329

256   256   0.0000 0.0328

256   512   0.0000 0.0327

256   1024   0.0000 0.0325

256   2048   0.0000 0.0323

512   1   0.0000 0.2203

512   2   0.0000 0.0721

512   4   0.0000 0.0554

512   8   0.0000 0.0509

512   16   0.0000 0.0430

512   32   0.0000 0.0379

